end,value,state,type
11/04/2017,239000,nat,h
11/11/2017,250000,nat,h
11/18/2017,240000,nat,h
11/25/2017,237000,nat,h
12/02/2017,235000,nat,h
12/09/2017,234000,nat,h
12/16/2017,244000,nat,h
12/23/2017,245000,nat,h
12/30/2017,246000,nat,h
01/06/2018,250000,nat,h
1/13/2018,230000,nat,h
1/20/2018,238000,nat,h
1/27/2018,225000,nat,h
02/03/2018,219000,nat,h
02/10/2018,226000,nat,h
2/17/2018,216000,nat,h
2/24/2018,216000,nat,h
03/03/2018,223000,nat,h
03/10/2018,222000,nat,h
3/17/2018,221000,nat,h
3/24/2018,217000,nat,h
3/31/2018,231000,nat,h
04/07/2018,227000,nat,h
4/14/2018,227000,nat,h
4/21/2018,210000,nat,h
4/28/2018,213000,nat,h
05/05/2018,211000,nat,h
05/12/2018,221000,nat,h
5/19/2018,227000,nat,h
5/26/2018,221000,nat,h
06/02/2018,220000,nat,h
06/09/2018,219000,nat,h
6/16/2018,219000,nat,h
6/23/2018,223000,nat,h
6/30/2018,229000,nat,h
07/07/2018,212000,nat,h
7/14/2018,212000,nat,h
7/21/2018,217000,nat,h
7/28/2018,220000,nat,h
08/04/2018,215000,nat,h
08/11/2018,215000,nat,h
8/18/2018,214000,nat,h
8/25/2018,215000,nat,h
09/01/2018,210000,nat,h
09/08/2018,208000,nat,h
9/15/2018,212000,nat,h
9/22/2018,212000,nat,h
9/29/2018,218000,nat,h
10/06/2018,212000,nat,h
10/13/2018,215000,nat,h
10/20/2018,218000,nat,h
10/27/2018,219000,nat,h
11/03/2018,217000,nat,h
11/10/2018,223000,nat,h
11/17/2018,224000,nat,h
11/24/2018,234000,nat,h
12/01/2018,229000,nat,h
12/08/2018,213000,nat,h
12/15/2018,220000,nat,h
12/22/2018,223000,nat,h
12/29/2018,231000,nat,h
01/05/2019,221000,nat,h
01/12/2019,217000,nat,h
1/19/2019,211000,nat,h
1/26/2019,244000,nat,h
02/02/2019,230000,nat,h
02/09/2019,231000,nat,h
2/16/2019,213000,nat,h
2/23/2019,224000,nat,h
03/02/2019,218000,nat,h
03/09/2019,224000,nat,h
3/16/2019,216000,nat,h
3/23/2019,212000,nat,h
3/30/2019,204000,nat,h
04/06/2019,197000,nat,h
4/13/2019,193000,nat,h
4/20/2019,230000,nat,h
4/27/2019,230000,nat,h
05/04/2019,228000,nat,h
05/11/2019,212000,nat,h
5/18/2019,212000,nat,h
5/25/2019,218000,nat,h
06/01/2019,219000,nat,h
06/08/2019,222000,nat,h
6/15/2019,217000,nat,h
6/22/2019,229000,nat,h
6/29/2019,222000,nat,h
07/06/2019,208000,nat,h
7/13/2019,216000,nat,h
7/20/2019,207000,nat,h
7/27/2019,217000,nat,h
08/03/2019,211000,nat,h
08/10/2019,221000,nat,h
8/17/2019,211000,nat,h
8/24/2019,216000,nat,h
8/31/2019,219000,nat,h
09/07/2019,206000,nat,h
9/14/2019,210000,nat,h
9/21/2019,215000,nat,h
9/28/2019,220000,nat,h
10/05/2019,210000,nat,h
10/12/2019,218000,nat,h
10/19/2019,213000,nat,h
10/26/2019,219000,nat,h
11/02/2019,211000,nat,h
11/09/2019,227000,nat,h
11/16/2019,228000,nat,h
11/23/2019,213000,nat,h
11/30/2019,203000,nat,h
12/07/2019,252000,nat,h
12/14/2019,235000,nat,h
12/21/2019,224000,nat,h
12/28/2019,223000,nat,h
01/04/2020,214000,nat,h
01/11/2020,205000,nat,h
1/18/2020,223000,nat,h
1/25/2020,217000,nat,h
02/01/2020,203000,nat,h
02/08/2020,206000,nat,h
2/15/2020,211000,nat,h
2/22/2020,219000,nat,h
2/29/2020,215000,nat,h
03/07/2020,211000,nat,h
3/14/2020,282000,nat,h
3/21/2020,3283000,nat,a
